Manudur;Dagur;Dogun   ;Birting  ;Solris   ;Hadegi  ;Solarlag  ;Myrkur  ;Dagsetur    ;Haed;;Solris;Solarlag;;solarstundir;;Man;dagur
JAN;1.;07 56;10 03;11 19;13 31;15 44;16 59;19 07;3,1;;11:19;15:44;;0,184027778;;JAN;JAN/1./2023
-;8.;07 52;09 57;11 09;13 34;16 00;17 12;19 17;3,8;;11:09;16:00;;0,202083333;;JAN;JAN/8./2023
-;15.;07 46;09 48;10 55;13 37;16 20;17 27;19 29;4,9;;10:55;16:20;;0,225694444;;JAN;JAN/15./2023
-;22.;07 36;09 35;10 37;13 39;16 42;17 44;19 43;6,3;;10:37;16:42;;0,253472222;;JAN;JAN/22./2023
-;29.;07 23;09 19;10 17;13 41;17 05;18 03;19 59;8,1;;10:17;17:05;;0,283333333;;JAN;JAN/29./2023
FEB;5.;07 08;09 01;09 56;13 42;17 28;18 23;20 17;10,1;;09:56;17:28;;0,313888889;;FEB;FEB/5./2023
-;12.;06 50;08 42;09 33;13 42;17 51;18 43;20 35;12,3;;09:33;17:51;;0,345833333;;FEB;FEB/12./2023
-;19.;06 30;08 20;09 10;13 41;18 14;19 04;20 55;14,7;;09:10;18:14;;0,377777778;;FEB;FEB/19./2023
-;26.;06 07;07 58;08 46;13 41;18 36;19 25;21 16;17,2;;08:46;18:36;;0,409722222;;FEB;FEB/26./2023
MAR;5.;05 42;07 35;08 22;13 39;18 58;19 45;21 39;19,9;;08:22;18:58;;0,441666667;;MAR;MAR/5./2023
-;12.;05 14;07 11;07 58;13 37;19 19;20 06;22 04;22,6;;07:58;19:19;;0,472916667;;MAR;MAR/12./2023
-;19.;04 43;06 46;07 33;13 36;19 40;20 27;22 31;25,4;;07:33;19:40;;0,504861111;;MAR;MAR/19./2023
-;26.;04 07;06 20;07 08;13 33;20 01;20 49;23 04;28,1;;07:08;20:01;;0,536805556;;MAR;MAR/26./2023
APR;2.;03 23;05 53;06 43;13 31;20 22;21 12;23 46;30,8;;06:43;20:22;;0,56875;;APR;APR/2./2023
-;9.;02 11;05 26;06 18;13 29;20 43;21 35;25 12;33,5;;06:18;20:43;;0,600694444;;APR;APR/9./2023
-;16.;;04 58;05 53;13 28;21 04;22 00;;36;;05:53;21:04;;0,632638889;;APR;APR/16./2023
-;23.;;04 28;05 29;13 26;21 26;22 27;;38,4;;05:29;21:26;;0,664583333;;APR;APR/23./2023
-;30.;;03 57;05 04;13 25;21 48;22 57;;40,7;;05:04;21:48;;0,697222222;;APR;APR/30./2023
MAI;7.;;03 22;04 40;13 24;22 11;23 31;;42,7;;04:40;22:11;;0,729861111;;MAI;MAI/7./2023
-;14.;;02 41;04 17;13 24;22 34;24 14;;44,5;;04:17;22:34;;0,761805556;;MAI;MAI/14./2023
-;21.;;;03 55;13 24;22 57;;;46,1;;03:55;22:57;;0,793055556;;MAI;MAI/21./2023
-;28.;;;03 34;13 25;23 19;;;47,3;;03:34;23:19;;0,822916667;;MAI;MAI/28./2023
JUN;4.;;;03 16;13 26;23 38;;;48,3;;03:16;23:38;;0,848611111;;JUN;JUN/4./2023
-;11.;;;03 02;13 27;23 54;;;49;;03:02;23:54;;0,869444444;;JUN;JUN/11./2023
-;18.;;;02 55;13 29;24 03;;;49,3;;02:55;24:03;;0,880555556;;JUN;JUN/18./2023
-;21.;;;02 54;13 29;24 05;;;49,3;;02:54;24:05;;0,882638889;;JUN;JUN/21./2023
-;25.;;;02 56;13 30;24 04;;;49,3;;02:56;24:04;;0,880555556;;JUN;JUN/25./2023
JUL;2.;;;03 06;13 32;23 56;;;48,9;;03:06;23:56;;0,868055556;;JUL;JUL/2./2023
-;9.;;;03 23;13 33;23 41;;;48,2;;03:23;23:41;;0,845833333;;JUL;JUL/9./2023
-;16.;;;03 43;13 34;23 23;;;47,2;;03:43;23:23;;0,819444444;;JUL;JUL/16./2023
-;23.;;;04 04;13 34;23 02;;;45,9;;04:04;23:02;;0,790277778;;JUL;JUL/23./2023
-;30.;;02 49;04 27;13 34;22 39;24 13;;44,4;;04:27;22:39;;0,758333333;;JUL;JUL/30./2023
AGU;6.;;03 31;04 49;13 34;22 16;23 32;;42,5;;04:49;22:16;;0,727083333;;AGU;AGU/6./2023
-;13.;;04 04;05 11;13 33;21 52;22 58;;40,5;;05:11;21:52;;0,695138889;;AGU;AGU/13./2023
-;20.;;04 32;05 33;13 31;21 27;22 27;;38,3;;05:33;21:27;;0,6625;;AGU;AGU/20./2023
-;27.;;04 58;05 54;13 29;21 02;21 58;;35,9;;05:54;21:02;;0,630555556;;AGU;AGU/27./2023
SEP;3.;01 53;05 22;06 15;13 27;20 38;21 29;24 41;33,4;;06:15;20:38;;0,599305556;;SEP;SEP/3./2023
-;10.;03 11;05 45;06 35;13 25;20 13;21 02;23 32;30,8;;06:35;20:13;;0,568055556;;SEP;SEP/10./2023
-;17.;03 52;06 07;06 55;13 22;19 48;20 36;22 48;28,1;;06:55;19:48;;0,536805556;;SEP;SEP/17./2023
-;24.;04 24;06 28;07 15;13 20;19 23;20 10;22 13;25,4;;07:15;19:23;;0,505555556;;SEP;SEP/24./2023
OKT;1.;04 50;06 48;07 35;13 17;18 58;19 45;21 42;22,7;;07:35;18:58;;0,474305556;;OKT;OKT/1./2023
-;8.;05 15;07 08;07 56;13 15;18 33;19 21;21 14;20;;07:56;18:33;;0,442361111;;OKT;OKT/8./2023
-;15.;05 37;07 28;08 17;13 14;18 09;18 57;20 48;17,4;;08:17;18:09;;0,411111111;;OKT;OKT/15./2023
-;22.;05 57;07 48;08 38;13 12;17 45;18 35;20 25;14,8;;08:38;17:45;;0,379861111;;OKT;OKT/22./2023
-;29.;06 16;08 08;09 00;13 11;17 22;18 13;20 05;12,5;;09:00;17:22;;0,348611111;;OKT;OKT/29./2023
NOV;5.;06 35;08 28;09 23;13 11;16 59;17 53;19 47;10,3;;09:23;16:59;;0,316666667;;NOV;NOV/5./2023
-;12.;06 52;08 47;09 45;13 12;16 37;17 35;19 31;8,3;;09:45;16:37;;0,286111111;;NOV;NOV/12./2023
-;19.;07 07;09 06;10 08;13 13;16 17;17 19;19 18;6,5;;10:08;16:17;;0,25625;;NOV;NOV/19./2023
-;26.;07 22;09 23;10 30;13 15;15 59;17 06;19 07;5,1;;10:30;15:59;;0,228472222;;NOV;NOV/26./2023
DES;3.;07 34;09 39;10 50;13 17;15 45;16 56;19 00;4;;10:50;15:45;;0,204861111;;DES;DES/3./2023
-;10.;07 44;09 51;11 06;13 20;15 34;16 49;18 57;3,2;;11:06;15:34;;0,186111111;;DES;DES/10./2023
-;17.;07 51;10 00;11 18;13 24;15 29;16 48;18 56;2,8;;11:18;15:29;;0,174305556;;DES;DES/17./2023
-;22.;07 54;10 03;11 22;13 26;15 31;16 49;18 58;2,7;;11:22;15:31;;0,172916667;;DES;DES/22./2023
-;24.;07 55;10 04;11 22;13 27;15 32;16 50;18 59;2,7;;11:22;15:32;;0,173611111;;DES;DES/24./2023
-;31.;07 56;10 04;11 20;13 31;15 41;16 58;19 06;3;;11:20;15:41;;0,18125;;DES;DES/31./2023
